date,sport,away,home,book_spread,book_total,xsharp_spread,xsharp_total,our_spread,our_total,actual_away_score,actual_home_score,grade_book_spread,grade_book_total,grade_xsharp_spread,grade_xsharp_total,grade_our_spread,grade_our_total
2026-05-11,NBA,Detroit Pistons,Cleveland Cavaliers,-3.5 (CLE -3.5),213.5,-1.4 (DET -1.4),222.0,-4.3 (DET -4.3),213.7,,,,,,,,
2026-05-11,NBA,Oklahoma City Thunder,Los Angeles Lakers,-10.5 (OKC -10.5),214.5,-13.0 (OKC -13.0),226.5,-19.7 (OKC -19.7),223.0,,,,,,,,
